ArraySize,Method,AbsoluteDiff,RelativeDiff,RuntimeSeconds
1024,Standard double sum,1.3713e-12,2.6784e-14,0.000003
1024,Pairwise summation,0.0000e+00,0.0000e+00,0.000017
1024,Kahan summation,0.0000e+00,0.0000e+00,0.000010
1024,Knuth summation,0.0000e+00,0.0000e+00,0.000010
1024,Long double precision,3.5527e-15,6.9389e-17,0.000005
2048,Standard double sum,2.8422e-13,2.7756e-15,0.000006
2048,Pairwise summation,0.0000e+00,0.0000e+00,0.000049
2048,Kahan summation,0.0000e+00,0.0000e+00,0.000020
2048,Knuth summation,0.0000e+00,0.0000e+00,0.000019
2048,Long double precision,7.1054e-15,6.9389e-17,0.000010
4096,Standard double sum,-3.2799e-11,-1.6015e-13,0.000030
4096,Pairwise summation,0.0000e+00,0.0000e+00,0.000067
4096,Kahan summation,0.0000e+00,0.0000e+00,0.000039
4096,Knuth summation,0.0000e+00,0.0000e+00,0.000040
4096,Long double precision,0.0000e+00,0.0000e+00,0.000019
8192,Standard double sum,-2.6262e-11,-6.4115e-14,0.000024
8192,Pairwise summation,0.0000e+00,0.0000e+00,0.000124
8192,Kahan summation,0.0000e+00,0.0000e+00,0.000080
8192,Knuth summation,0.0000e+00,0.0000e+00,0.000100
8192,Long double precision,5.6843e-14,1.3878e-16,0.000040
16384,Standard double sum,4.8158e-10,5.8786e-13,0.000050
16384,Pairwise summation,0.0000e+00,0.0000e+00,0.000366
16384,Kahan summation,0.0000e+00,0.0000e+00,0.000162
16384,Knuth summation,0.0000e+00,0.0000e+00,0.000205
16384,Long double precision,2.8422e-14,3.4694e-17,0.000082
32768,Standard double sum,3.3310e-10,2.0331e-13,0.000110
32768,Pairwise summation,0.0000e+00,0.0000e+00,0.000513
32768,Kahan summation,0.0000e+00,0.0000e+00,0.000406
32768,Knuth summation,0.0000e+00,0.0000e+00,0.000405
32768,Long double precision,-8.5265e-14,-5.2042e-17,0.000185
65536,Standard double sum,-4.2928e-10,-1.3101e-13,0.000207
65536,Pairwise summation,0.0000e+00,0.0000e+00,0.001023
65536,Kahan summation,0.0000e+00,0.0000e+00,0.000693
65536,Knuth summation,0.0000e+00,0.0000e+00,0.000677
65536,Long double precision,1.0516e-12,3.2092e-16,0.000414
131072,Standard double sum,9.2214e-09,1.4071e-12,0.000625
131072,Pairwise summation,0.0000e+00,0.0000e+00,0.002413
131072,Kahan summation,0.0000e+00,0.0000e+00,0.001488
131072,Knuth summation,0.0000e+00,0.0000e+00,0.001351
131072,Long double precision,4.2348e-12,6.4618e-16,0.000741
262144,Standard double sum,3.5974e-08,2.7446e-12,0.001537
262144,Pairwise summation,0.0000e+00,0.0000e+00,0.005265
262144,Kahan summation,0.0000e+00,0.0000e+00,0.002771
262144,Knuth summation,0.0000e+00,0.0000e+00,0.002864
262144,Long double precision,-1.1227e-11,-8.5652e-16,0.001729
524288,Standard double sum,-5.6617e-07,-2.1598e-11,0.002132
524288,Pairwise summation,0.0000e+00,0.0000e+00,0.006181
